Name,Description,Detail Page URL,Page
Sustainable Economies Law Center,Food Systems focused organization in Oakland CA.,https://directories.onepercentfortheplanet.org/profile/sustainable-economies-law-center,11
RARE Charitable Research Reserve,Terrestrial Ecosystems+1 focused organization in Cambridge ON Canada.,https://directories.onepercentfortheplanet.org/profile/rare-charitable-research-reserve,11
Rockfish Wildlife Sanctuary,Wildlife rehabilitation and education organization serving Central Virginia and beyond. Based in Shipman VA.,https://directories.onepercentfortheplanet.org/profile/rockfish-wildlife-sanctuary,11
Norwalk River Watershed Association,Water Quality and Wildlife Habitat Restoration and Protection. Based in Wilton CT.,https://directories.onepercentfortheplanet.org/profile/norwalk-river-watershed-association,11
Freeport Conservation Trust,Terrestrial Ecosystems focused organization in Freeport ME.,https://directories.onepercentfortheplanet.org/profile/freeport-conservation-trust,11
Shark Stewards - Project of Earth Island Institute,Freshwater Ecosystems focused organization in Berkeley CA.,https://directories.onepercentfortheplanet.org/profile/shark-stewards-a-project-of-the-earth-island-institute,11
Everybody Solar,Protecting the environment and strengthening US communities through solar energy projects at no cost for nonprofits. Based in San Francisco CA.,https://directories.onepercentfortheplanet.org/profile/everybody-solar,11
Friends of Gateway Green,Community-initiated park project converting 20 acres of under-used right-of-way into a park in Portland OR.,https://directories.onepercentfortheplanet.org/profile/friends-of-gateway-green,11
Green Newton,Climate Adaptation focused organization in Newton Centre MA.,https://directories.onepercentfortheplanet.org/profile/green-newton,11
Jefferson County Farmland Protection Board,Food Systems focused organization in Kearneysville WV.,https://directories.onepercentfortheplanet.org/profile/jefferson-county-farmland-protection-board,11
Blue Ridge Parkway Foundation,Providing critical support to the Blue Ridge Parkway since 1997. Based in Winston Salem NC.,https://directories.onepercentfortheplanet.org/profile/blue-ridge-parkway-foundation,11
North Coast Cetacean Society,Freshwater Ecosystems focused organization in Qualicum Beach BC Canada.,https://directories.onepercentfortheplanet.org/profile/north-coast-cetacean-society,11
Sea Shepherd Deutschland,Freshwater Ecosystems focused organization in Bremen Germany.,https://directories.onepercentfortheplanet.org/profile/sea-shepherd-deutschland,11
TransForm,Working since 1997 for equitable sustainable transportation in the Bay Area CA.,https://directories.onepercentfortheplanet.org/profile/transform,11
Native Plant Trust,Climate Adaptation focused organization in Framingham MA.,https://directories.onepercentfortheplanet.org/profile/native-plant-trust,11
SOS Outreach,Empowering youth through powerful outdoor experiences. Based in Avon CO.,https://directories.onepercentfortheplanet.org/profile/sos-outreach,11
Blue Planet Foundation,Committed to 100% clean energy through advocacy and community action. Based in Honolulu HI.,https://directories.onepercentfortheplanet.org/profile/blue-planet-foundation,11
The Shenandoah National Park Trust,Philanthropic partner of Shenandoah National Park. Based in Charlottesville VA.,https://directories.onepercentfortheplanet.org/profile/the-shenandoah-national-park-trust,11
The Forest Park Conservancy,Protecting Forest Parks ecological health while encouraging responsible recreation. Based in Portland OR.,https://directories.onepercentfortheplanet.org/profile/the-forest-park-conservancy,11
