Name,Description,Detail Page URL,Page
Canadian Organic Growers,Food Systems organization based in Ottawa ON Canada.,https://directories.onepercentfortheplanet.org/profile/canadian-organic-growers,1
Association pour la Recherche Therapeutique Anti-Cancereuse (ARTAC),Research against cancer based on environmental prevention. Focus: Toxics & Pollution.,https://directories.onepercentfortheplanet.org/profile/association-pour-la-recherche-therapeutique-anticancereuse-artac,1
Planned Parenthood League of Massachusetts,Provides access to sexual and reproductive health care and education. Focus: Climate Adaptation.,https://directories.onepercentfortheplanet.org/profile/planned-parenthood-league-of-massachusetts,1
Save A Turtle Inc.,Protects endangered sea turtles in the Florida Keys through conservation education and advocacy. Focus: Biodiversity & Wildlife.,https://directories.onepercentfortheplanet.org/profile/save-a-turtle-inc,1
Cheakamus Foundation for Environmental Learning,Operates Cheakamus Centre - a 165ha coastal rainforest ecological reserve in BC Canada offering environmental and indigenous cultural education.,https://directories.onepercentfortheplanet.org/profile/cheakamus-foundation-for-environmental-learning,1
Pacific Whale Foundation,Climate Adaptation focused organization in Wailuku HI.,https://directories.onepercentfortheplanet.org/profile/pacific-whale-foundation,1
Byron Bay Wildlife Sanctuary Operations,Biodiversity & Wildlife focused sanctuary in Knockrow New South Wales Australia.,https://directories.onepercentfortheplanet.org/profile/byron-bay-wildlife-sanctuary-operations,1
California Academy of Sciences,For over 165 years explores the natural world through exhibits research and education inspiring 1.3M visitors annually. Focus: Biodiversity & Wildlife.,https://directories.onepercentfortheplanet.org/profile/california-academy-of-sciences,1
Sacred Rok,Terrestrial Ecosystems focused organization in Redwood City CA.,https://directories.onepercentfortheplanet.org/profile/sacred-rok,1
Santa Catalina Island Conservancy,Terrestrial Ecosystems focused conservancy in Avalon CA.,https://directories.onepercentfortheplanet.org/profile/santa-catalina-island-conservancy,1
Faith in Place,Climate Adaptation focused organization in Chicago IL.,https://directories.onepercentfortheplanet.org/profile/faith-in-place,1
Forests for People,Empowering forest communities through education and sustainable livelihoods to protect forest resources. Focus: Environmental Education.,https://directories.onepercentfortheplanet.org/profile/forests-for-people,1
The Park People,Working with communities to plant trees and improve parks for a healthy resilient future in Denver CO.,https://directories.onepercentfortheplanet.org/profile/the-park-people,1
Friends of Griffith Park,Seeks to conserve the 4310-acre park as an irreplaceable urban wilderness in Los Angeles CA. Focus: Biodiversity & Wildlife.,https://directories.onepercentfortheplanet.org/profile/friends-of-griffith-park,1
California Center for Sustainable Energy,Climate Adaptation focused organization in San Diego CA.,https://directories.onepercentfortheplanet.org/profile/california-center-for-sustainable-energy,1
American River Conservancy,Land trust since 1989 protecting 28000 acres of riverfront habitats in the American River and Cosumnes River watersheds.,https://directories.onepercentfortheplanet.org/profile/american-river-conservancy,1
Vashon-Maury Island Land Trust,Land conservation organization preserving and restoring critical habitat for recreation education and science on Vashon Island WA.,https://directories.onepercentfortheplanet.org/profile/vashonmaury-island-land-trust,1
Terre Nourriciere,Climate Adaptation focused organization in Montpellier France.,https://directories.onepercentfortheplanet.org/profile/terre-nourriciere,1
Minnesota Waste Wise Foundation,Climate Adaptation focused organization in St. Paul MN.,https://directories.onepercentfortheplanet.org/profile/minnesota-waste-wise-foundation,1
Sarett Nature Center,Nature center focused on Biodiversity & Wildlife and environmental education in Benton Harbor MI.,https://directories.onepercentfortheplanet.org/profile/sarett-nature-center,1
JBay Surf Alliance,Marine Ecosystems focused organization in Jeffreys Bay South Africa.,https://directories.onepercentfortheplanet.org/profile/jbay-surf-alliance,2
Cabrillo National Monument Foundation,Essential partner to the National Park Service providing support to Cabrillo National Monument San Diego's only National Park.,https://directories.onepercentfortheplanet.org/profile/cabrillo-national-monument-foundation,2
Rozalia Project for a Clean Ocean,Focused on cleaning and protecting the ocean. Based in Burlington VT.,https://directories.onepercentfortheplanet.org/profile/rozalia-project-for-a-clean-ocean,2
Central Cross Country Skiing,Nature Access focused organization in Madison WI.,https://directories.onepercentfortheplanet.org/profile/central-cross-country-skiing,2
United Planet,Climate Adaptation focused organization in Boston MA.,https://directories.onepercentfortheplanet.org/profile/united-planet,2
The Black Girls Hike Foundation,Showcases the adventures of black women in the outdoor setting throughout all areas of the world. Based in Baltimore MD.,https://directories.onepercentfortheplanet.org/profile/the-black-girls-hike-foundation,2
San Luis Valley Great Outdoors,Builds pathways to connect to the outdoors. Based in Alamosa CO.,https://directories.onepercentfortheplanet.org/profile/san-luis-valley-great-outdoors,2
Mori wa Umi no Koibito,Works in forestation environmental education and preservation of natural environment in Kesennuma Japan.,https://directories.onepercentfortheplanet.org/profile/mori-wa-umi-no-koibito,2
Northwest Trail Alliance (NWTA),Advocates for new trails protects and builds sustainable mountain bike trails in Portland OR.,https://directories.onepercentfortheplanet.org/profile/northwest-trail-alliance-nwta,2
Lahaina Community Land Trust,Land & Water Rights focused organization in Lahaina HI.,https://directories.onepercentfortheplanet.org/profile/lahaina-community-land-trust,2
The Land Conservancy for Southern Chester County,Ensures perpetual preservation of open space natural resources historic sites and agricultural lands in Southern Chester County PA.,https://directories.onepercentfortheplanet.org/profile/the-land-conservancy-for-southern-chester-county,2
The Global Women's Project,Sustainable Livelihoods focused organization in Auburn South VIC Australia.,https://directories.onepercentfortheplanet.org/profile/the-global-womens-project,2
