Name,Description,Detail Page URL,Page
Soil Born Farm Urban Agriculture Project,Sacramento's urban agriculture and education center.,https://directories.onepercentfortheplanet.org/profile/soil-born-farm-urban-agriculture-project,21
Les heritiers de la recup,Environmental Education focused organization in Rivedoux-Plage France.,https://directories.onepercentfortheplanet.org/profile/les-hritiers-de-la-rcup,21
AMA Animal Rescue Incorporated,501(c)(3) non-profit dedicated to rescuing rehabilitating and placing abused and neglected pet companions. Brooklyn NY.,https://directories.onepercentfortheplanet.org/profile/ama-animal-rescue-incorporated,21
Breckenridge Outdoor Education Center,Nature Access focused organization in Breckenridge CO.,https://directories.onepercentfortheplanet.org/profile/breckenridge-outdoor-education-center,21
Conservation Florida Inc.,Accredited land conservancy prioritizing protection of land in the Florida Wildlife Corridor.,https://directories.onepercentfortheplanet.org/profile/conservation-florida-inc,21
Den selvejende institution Havhst,Community based regenerative ocean farming in Copenhagen Denmark.,https://directories.onepercentfortheplanet.org/profile/den-selvejende-institution-havhst,21
ACWAA (Awareness Conservation Wildlife And Action),Biodiversity & Wildlife focused organization in Les Anses-dArlet Martinique.,https://directories.onepercentfortheplanet.org/profile/awareness-conservation-wildlife-and-action-acwaa,21
Sustainable NCW,Promotes environmental stewardship and social sustainability in North Central Washington.,https://directories.onepercentfortheplanet.org/profile/sustainable-ncw,21
Experimental Station,Builds independent cultural infrastructure on the South Side of Chicago including Blackstone Bicycle Works youth program.,https://directories.onepercentfortheplanet.org/profile/experimental-station,21
Carbon Offsets To Alleviate Poverty (COTAP.org),Global climate justice initiative since 2011. Based in Walnut Creek CA.,https://directories.onepercentfortheplanet.org/profile/carbon-offsets-to-alleviate-poverty-cotaporg,21
Howard EcoWorks,Regional force for social and environmental change in Columbia MD.,https://directories.onepercentfortheplanet.org/profile/howard-ecoworks,21
Texan By Nature,Terrestrial Ecosystems focused organization in Austin TX.,https://directories.onepercentfortheplanet.org/profile/texan-by-nature,21
The Center for Responsible Travel (CREST),Leading expert on responsible tourism models. Based in Washington DC.,https://directories.onepercentfortheplanet.org/profile/the-center-for-responsible-travel-crest,21
Positive Change for Marine Life,Develops innovative conservation solutions with triple bottom line - people planet prosperity. Byron Bay NSW Australia.,https://directories.onepercentfortheplanet.org/profile/positive-change-for-marine-life,21
All In Energy Inc.,Enables underserved residents to save on utility bills via clean energy programs. Based in Roslindale MA.,https://directories.onepercentfortheplanet.org/profile/all-in-energy-inc,21
Southwest Energy Efficiency Project (SWEEP),Climate Adaptation focused organization in Boulder CO.,https://directories.onepercentfortheplanet.org/profile/southwest-energy-efficiency-project-sweep,21
Friends of Conservation UK,Biodiversity & Wildlife focused organization in London UK.,https://directories.onepercentfortheplanet.org/profile/friends-of-conservation-uk,21
Monterey Peninsula Audubon Society,Celebrating exploring and conserving birds and ecology of the greater Monterey region CA.,https://directories.onepercentfortheplanet.org/profile/monterey-peninsula-audubon-society,21
Mountain Wilderness Italia,Biodiversity & Wildlife focused organization in Mestre Venice Italy.,https://directories.onepercentfortheplanet.org/profile/mountain-wilderness-italia,21
Center for the Blue Economy,Freshwater Ecosystems focused organization in Monterey CA.,https://directories.onepercentfortheplanet.org/profile/center-for-the-blue-economy,21
Common Ground Collective,Maui wildfire relief and food sustainability for underprivileged community members. Based in Haiku HI.,https://directories.onepercentfortheplanet.org/profile/common-ground-collective,22
ShoreRivers,Protects and restores Eastern Shore waterways through science-based advocacy restoration and education. Easton MD.,https://directories.onepercentfortheplanet.org/profile/shorerivers,22
Protect Our Winters (POW) Finland,Voice of winter lovers combatting climate crisis in Joensuu Finland.,https://directories.onepercentfortheplanet.org/profile/protect-our-winters-pow-finland,22
MiniBigForest,Planting urban participatory forests using the Miyawaki method in Les Sorinieres France.,https://directories.onepercentfortheplanet.org/profile/minibigforest,22
Bernheim Arboretum and Research Forest,16137-acre forest connecting people with nature through education conservation and recreation. Clermont KY.,https://directories.onepercentfortheplanet.org/profile/bernheim-arboretum-and-research-forest,22
Mojave Desert Land Trust,Permanently protecting land restoring habitat and preserving native seeds in the California desert.,https://directories.onepercentfortheplanet.org/profile/mojave-desert-land-trust,22
Your Children's Trees,Dedicated to preservation of natural environment through ecosystem restoration and educational outreach in Goleta CA.,https://directories.onepercentfortheplanet.org/profile/your-childrens-trees,22
GRET,Climate Adaptation focused organization.,https://directories.onepercentfortheplanet.org/profile/unapproved-gret,22
Green Streets Initiative,Celebrating and promoting sustainable and active transportation in Cambridge MA.,https://directories.onepercentfortheplanet.org/profile/green-streets-initiative,22
CPIE Val de Vilaine,Toxics & Pollution focused organization in Saint Just France.,https://directories.onepercentfortheplanet.org/profile/cpie-val-de-vilaine,22
GreenKayak,Environmental NGO engaging people in the fight for cleaner oceans. Copenhagen Denmark.,https://directories.onepercentfortheplanet.org/profile/greenkayak,22
Intercultural Center for the Study of Deserts and Oceans (CEDO),Active conservation research and education organization for the Northern Gulf of California. Tucson AZ.,https://directories.onepercentfortheplanet.org/profile/intercultural-center-for-the-study-of-deserts-and-oceans-inc,22
3PA,Climate Adaptation focused organization in Lahage France.,https://directories.onepercentfortheplanet.org/profile/3pa,22
The Wilderness Society Ltd,Protecting restoring and sustaining nature in Australia. Based in Hobart Tasmania.,https://directories.onepercentfortheplanet.org/profile/the-wilderness-society-ltd,22
